agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd
USGS,432345102171401, 40N41W32,GW,43.39749245,-102.197658,M,NAD83, 3018,100,NGVD29,10140201
USGS,432345102231601, 40N43W34DAAD,GW,43.3958229,-102.3871098,F,NAD83, 2910.00, 40,NGVD29,10140201
USGS,432345102255701, 40N43W32,GW,43.3958223,-102.4360008,M,NAD83, 3130,250,NGVD29,10140201
USGS,432345103252801,007S06E32AAB,GW,43.3958124,-103.4249187,F,NAD83, 3300, 10,NGVD29,10120109
USGS,432346102055301, 40N40W31DB,GW,43.39610576,-102.0984882,T,NAD83, 3000, 50,NGVD29,10140201
USGS,432346102321401, 40N44W33CAB,GW,43.396099,-102.5376718,T,NAD83, 2800, 50,NGVD29,10140201
USGS,432347102132401, 40N41W31CBAD,GW,43.3963807,-102.2237699,T,NAD83, 2962, 50,NGVD29,10140201
USGS,432348102060101, 40N40W31,GW,43.39666128,-102.1007105,M,NAD83, 2985,100,NGVD29,10140201
USGS,432348103123801,007S08E31DBB,GW,43.3966485,-103.2110312,F,NAD83, 3555,5,NGVD29,10120109
USGS,432348103164801,007S07E34CBB,GW,43.39664779,-103.2804757,F,NAD83, 3095,5,NGVD29,10120109
USGS,432348103165701,007S07E33DAA,GW,43.39664775,-103.2829757,F,NAD83, 3094,5,NGVD29,10120109
USGS,432348103213401,007S06E36CBB,GW,43.39664667,-103.3599194,F,NAD83, 3030,5,NGVD29,10120109
